Date,Day,Name
Sep 26,Sunday,International Day for the Total Elimination of Nuclear Weapons
Sep 26,Sunday,Gold Star Mother's Day
Sep 27,Monday,Last Day of Sukkot
Sep 27,Monday,World Tourism Day
Sep 27,Monday,American Indian Day
Sep 28,Tuesday,Shmini Atzeret
Sep 28,Tuesday,International Day for Universal Access to Information
Sep 28,Tuesday,World Rabies Day
Sep 29,Wednesday,Simchat Torah
Sep 29,Wednesday,International Day of Awareness of Food Loss and Waste
Sep 29,Wednesday,World Heart Day
Sep 30,Thursday,World Maritime Day
Sep 30,Thursday,International Translation Day
,,
Oct 1,Friday,International Day of Older Persons
Oct 1,Friday,World Vegetarian Day
Oct 2,Saturday,International Day of Non-Violence
Oct 4,Monday,Feast of St Francis of Assisi
Oct 4,Monday,World Habitat Day
Oct 4,Monday,Frances Xavier Cabrini Day
Oct 4,Monday,Child Health Day
Oct 5,Tuesday,World Teachers' Day
Oct 6,Wednesday,Navratri
Oct 6,Wednesday,World Cerebral Palsy Day
Oct 6,Wednesday,German American Day
Oct 9,Saturday,World Post Day
Oct 9,Saturday,World Migratory Bird Day
Oct 9,Saturday,Leif Erikson Day
Oct 9,Saturday,Leif Erikson Day
Oct 9,Saturday,Robert E. Lee's Birthday
Oct 10,Sunday,World Mental Health Day
Oct 10,Sunday,Chicago Marathon
Oct 11,Monday,International Day of the Girl Child
Oct 11,Monday,Columbus Day
Oct 11,Monday,Columbus Day
Oct 11,Monday,Columbus Day
Oct 11,Monday,Fraternal Day
Oct 11,Monday,Yorktown Victory Day
Oct 11,Monday,Discoverers’ Day
Oct 11,Monday,Native American Day
Oct 11,Monday,Native American Day
Oct 11,Monday,Indigenous People's Day
Oct 11,Monday,Indigenous People's Day
Oct 11,Monday,Indigenous People's Day
Oct 11,Monday,American Indian Heritage Day
Oct 11,Monday,Casimir Pulaski Day
Oct 11,Monday,Boston Marathon
Oct 13,Wednesday,International Day for Natural Disaster Reduction
Oct 13,Wednesday,Navy Birthday
Oct 14,Thursday,Dussehra
Oct 14,Thursday,World Sight Day
Oct 15,Friday,International Day of Rural Women
Oct 15,Friday,White Cane Safety Day
Oct 15,Friday,Boss's Day
Oct 16,Saturday,World Food Day
Oct 16,Saturday,Sweetest Day
Oct 17,Sunday,International Day for the Eradication of Poverty
Oct 18,Monday,Alaska Day
Oct 19,Tuesday,The Prophet's Birthday
Oct 24,Sunday,United Nations Day
Oct 24,Sunday,World Development Information Day
Oct 27,Wednesday,World Day for Audiovisual Heritage
Oct 29,Friday,World Stroke Day
Oct 29,Friday,Nevada Day
Oct 31,Sunday,World Cities Day
Oct 31,Sunday,Halloween
,,
Nov 1,Monday,All Saints' Day
Nov 1,Monday,World Vegan Day
Nov 1,Monday,First Day of Native American Heritage Month
Nov 2,Tuesday,All Souls' Day
Nov 2,Tuesday,International Day to End Impunity for Crimes against Journalists
Nov 2,Tuesday,Election Day
Nov 2,Tuesday,Election Day
Nov 3,Wednesday,Diwali/Deepavali
Nov 4,Thursday,Diwali/Deepavali
Nov 5,Friday,World Tsunami Awareness Day
Nov 6,Saturday,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict
Nov 7,Sunday,New York City Marathon
Nov 7,Sunday,Daylight Saving Time ends
Nov 8,Monday,Barack Obama Day
Nov 10,Wednesday,World Science Day for Peace and Development
Nov 10,Wednesday,Marine Corps Birthday
Nov 11,Thursday,Veterans Day
Nov 11,Thursday,Veterans Day
Nov 12,Friday,World Pneumonia Day
Nov 14,Sunday,World Diabetes Day
Nov 16,Tuesday,International Day for Tolerance
Nov 17,Wednesday,World Prematurity Day
Nov 18,Thursday,World Philosophy Day
Nov 19,Friday,World Toilet Day
Nov 19,Friday,International Men's Day
Nov 19,Friday,George Rogers Clark Day
Nov 20,Saturday,Universal Children's Day
Nov 20,Saturday,Africa Industrialization Day
Nov 20,Saturday,Transgender Day of Remembrance
Nov 21,Sunday,World Day of Remembrance for Road Traffic Victims
Nov 21,Sunday,World Television Day
Nov 25,Thursday,International Day for the Elimination of Violence against Women
Nov 25,Thursday,Thanksgiving Day
Nov 25,Thursday,Thanksgiving Day
Nov 26,Friday,State Holiday
Nov 26,Friday,Presidents' Day
Nov 26,Friday,Lincoln's Birthday/Lincoln's Day
Nov 26,Friday,Day After Thanksgiving
Nov 26,Friday,Black Friday
Nov 26,Friday,American Indian Heritage Day
Nov 26,Friday,Native American Heritage Day
Nov 26,Friday,Native American Heritage Day
Nov 28,Sunday,First Sunday of Advent
Nov 29,Monday,Chanukah/Hanukkah (first day)
Nov 29,Monday,International Day of Solidarity with the Palestinian People
Nov 29,Monday,Nellie Tayloe Ross's Birthday
Nov 29,Monday,Cyber Monday
Nov 30,Tuesday,Day of Remembrance for all Victims of Chemical Warfare
Nov 30,Tuesday,Giving Tuesday
,,
Dec 1,Wednesday,World AIDS Day
Dec 1,Wednesday,Rosa Parks Day
Dec 1,Wednesday,Rosa Parks Day
Dec 2,Thursday,International Day for the Abolition of Slavery
Dec 3,Friday,International Day of Persons with Disabilities
Dec 4,Saturday,International Day of Banks
Dec 5,Sunday,International Volunteer Day for Economic and Social Development
Dec 5,Sunday,World Soil Day
Dec 6,Monday,Last Day of Chanukah
Dec 6,Monday,St Nicholas Day
Dec 7,Tuesday,International Civil Aviation Day
Dec 7,Tuesday,Pearl Harbor Remembrance Day
Dec 7,Tuesday,Pearl Harbor Remembrance Day
Dec 7,Tuesday,Delaware Day
Dec 8,Wednesday,Feast of the Immaculate Conception
Dec 9,Thursday,International Anti-Corruption Day
Dec 9,Thursday,World Genocide Commemoration Day
Dec 10,Friday,Human Rights Day
Dec 10,Friday,Wyoming Day
Dec 11,Saturday,International Mountain Day
Dec 12,Sunday,International Day of Neutrality
Dec 12,Sunday,International Universal Health Coverage Day
Dec 12,Sunday,Feast of Our Lady of Guadalupe
Dec 13,Monday,National Guard Birthday
Dec 14,Tuesday,Asarah B'Tevet
Dec 15,Wednesday,Bill of Rights Day
Dec 17,Friday,Pan American Aviation Day
Dec 17,Friday,Wright Brothers Day
Dec 18,Saturday,International Migrants Day
Dec 18,Saturday,Arabic Language Day
Dec 20,Monday,International Human Solidarity Day
Dec 21,Tuesday,December Solstice
Dec 23,Thursday,Washington's Birthday
Dec 23,Thursday,Christmas Holiday
Dec 24,Friday,Christmas Day (substitute)
Dec 24,Friday,Christmas Day (substitute)
Dec 24,Friday,Christmas Eve
Dec 24,Friday,Christmas Eve
Dec 25,Saturday,Christmas Day
